,0
0,1
1,0
2,1
3,1
4,0
5,1
6,1
7,0
8,0
9,0
10,0
11,0
12,1
13,0
14,0
15,1
16,0
17,0
18,0
19,0
20,0
21,1
22,0
23,1
24,0
25,1
26,0
27,0
28,0
29,1
30,1
31,0
32,1
33,0
34,1
35,0
36,0
37,0
38,1
39,1
40,0
41,1
42,0
43,0
44,0
45,0
46,0
47,0
48,1
49,1
50,0
51,1
52,0
53,0
54,0
55,0
56,1
57,0
58,1
59,1
60,1
61,1
62,1
63,0
64,0
65,0
66,1
67,0
68,0
69,1
70,0
71,0
72,1
73,0
74,0
75,1
76,0
77,1
78,0
79,0
80,0
81,0
82,0
83,0
84,1
85,0
86,1
87,0
88,1
89,1
90,1
91,0
92,0
93,1
94,0
95,0
96,1
97,0
98,0
99,1
100,0
101,1
102,0
103,1
104,1
105,0
106,1
107,1
108,1
109,0
110,1
111,1
112,0
113,0
114,1
115,0
116,1
117,0
118,0
119,0
120,1
121,0
122,0
123,0
124,1
125,0
126,0
127,1
128,1
129,0
130,1
131,1
132,1
133,1
134,1
135,0
136,0
137,0
138,0
139,1
140,1
141,1
142,1
143,1
144,1
145,0
146,1
147,0
148,1
149,1
150,0
151,1
152,1
153,1
154,0
155,0
156,0
157,1
158,0
159,1
160,1
161,0
162,1
163,1
164,0
165,1
166,1
167,1
168,0
169,1
170,1
171,1
172,1
173,1
174,0
175,0
176,0
177,0
178,1
179,1
180,0
181,0
182,1
183,0
184,1
185,0
186,1
187,0
188,0
189,1
190,0
191,0
192,1
193,0
194,0
195,1
196,0
197,0
198,0
199,1
200,1
201,0
202,1
203,0
204,1
205,0
206,0
207,0
208,0
209,1
210,1
211,1
212,0
213,0
214,1
215,0
216,1
217,1
218,0
219,0
220,0
221,0
222,1
223,0
224,0
225,0
226,1
227,1
228,0
229,1
230,0
231,1
232,1
233,1
234,0
235,1
236,0
